model,system,issue_id,title,package,predicted_priority,true_priority,confidence,reason
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,low,low,0.8,"Keyboard backspace not working in QEMU -nographic mode is a cosmetic/UI input issue limited to a specific non-default configuration, similar to the 'An unexpected black box appears at Setup Hotkey Region' and other UI/display bugs labeled low."
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,low,medium,0.6,"A parser issue in HiiDatabaseDxe's GetNameElement() is a functional bug in a UI/HII component similar to other low-priority MdeModulePkg code quality and correctness issues in the examples, without evidence of crashes, security impact, or build failures."
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,low,low,0.5,A 'code issue' in SetupBrowserDxe is vague and similar UI/browser bugs in MdeModulePkg have historically been labeled low unless they cause crashes or block all user interaction.
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,medium,medium,0.5,"RISC-V QEMU guest boot failure in OvmfPkg is a functional bug similar to 'TCG2/TPM2 support on RISC-V does not work' which was labeled medium, affecting a specific platform/architecture combination with a potential workaround."
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,medium,medium,0.95,This is nearly identical to the anchor example 'RedfishPkg fails to build with lld-link: error: undefined symbol: _fltused in CLANGPDB' which was labeled medium — a build failure limited to a specific toolchain (CLANGPDB) and configuration (IA32 NOOPT).
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,medium,medium,0.95,This is nearly identical to the existing example 'RedfishPkg fails to build with lld-link: error: undefined symbol: _memcpy in CLANGPDB (IA32 NOOPT)' which was labeled medium — a build failure limited to a specific toolchain (CLANGPDB) in a specific package.
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,medium,high,0.7,"This is a build failure limited to a specific toolchain variant (IA32 CLANGDWARF), similar to the RedfishPkg CLANGPDB build failures labeled medium."
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,medium,high,0.7,"A regression in Enter key handling in Arm platform firmware menus is a functional bug introduced by a specific commit that breaks user interaction in menus, similar to the SetupBrowserDxe code issue, but affects input handling which could impair firmware usability without completely preventing interaction."
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,high,medium,0.75,"A build failure in CryptoPkg with VS2022 blocks all users of that compiler, similar to the prior 'Encountering a build error with the CLANG compiler' CryptoPkg issue which was labeled high."
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,medium,high,0.7,"A crash in RealTimeClockRuntimeDxe's gRT->GetTime is a functional bug causing crashes in a specific code path (RISC-V OS runtime), but it has a limited scope (specific architecture/configuration) and likely has workarounds, similar to the RISC-V TCG2/TPM2 issue labeled medium."
