model,system,issue_id,title,package,type,priority,predicted_assignee,confidence,reason,true_assignee,correct
gpt-5.5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,Damien-Chen,0.42,"The bug is an OvmfPkg QEMU -nographic console/keyboard input issue, which does not match the listed OVMF memory, RISC-V, SEV, NetworkPkg, or Arm menu regression patterns, making Damien-Chen the most plausible remaining OvmfPkg-related assignee.",Damien-Chen,True
gpt-5.5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,YangGangUEFI,0.98,"The bug is in MdeModulePkg HiiDatabaseDxe specifically involving GetNameElement(), which historical patterns explicitly map to YangGangUEFI.",YangGangUEFI,True
gpt-5.5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,YangGangUEFI,0.93,"The bug is in MdeModulePkg specifically SetupBrowserDxe, which historical patterns map directly to YangGangUEFI.",YangGangUEFI,True
gpt-5.5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,yechao-w,0.95,"The bug is in OvmfPkg and specifically reports a QEMU-KVM guest start/boot failure on RISC-V, which matches the historical yechao-w assignment pattern.",yechao-w,True
gpt-5.5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,mikebeaton,0.98,"The bug is a RedfishPkg CLANGPDB build/link failure, matching the historical RedfishPkg CLANGPDB linker-error pattern assigned to mikebeaton.",mikebeaton,True
gpt-5.5,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,mikebeaton,0.96,"The bug is a RedfishPkg CLANGPDB build/link failure, which precisely matches the historical mikebeaton assignment pattern for RedfishPkg CLANGPDB linker errors.",mikebeaton,True
gpt-5.5,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,makubacki,0.96,"The bug is in BaseTools and specifically concerns updating the mu_nasm NuGet/toolchain dependency to fix link issues, matching the NASM/toolchain/nuget update pattern assigned to makubacki.",makubacki,True
gpt-5.5,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,mikebeaton,0.95,"The bug is an Arm platform firmware menu key-response regression referencing a specific commit hash, which matches the mikebeaton pattern rather than general MdeModulePkg HII/UI owners.",mikebeaton,True
gpt-5.5,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,ardbiesheuvel,0.96,"The bug is in CryptoPkg and specifically a VS2022 build failure, which matches the historical CryptoPkg VS2022 build error pattern for ardbiesheuvel.",ardbiesheuvel,True
gpt-5.5,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,zevorn,0.98,"The bug is in OvmfPkg RISC-V and specifically concerns an OS-runtime crash in BaseRiscV64CpuTimerLib, which matches the historical pattern for zevorn.",zevorn,True
gpt-5.5,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,bexcran,0.98,"The bug is in BaseTools and specifically concerns ECC Check failing in edk2 CI, which matches the historical BaseTools ECC/CI failure pattern assigned to bexcran.",bexcran,True
gpt-5.5,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,NingFengGit,0.98,"The bug is in ShellPkg SMBIOS/SmbioView and specifically requests MRDIMM support in the MemoryDevice memory technology table, which matches the historical NingFengGit pattern exactly.",NingFengGit,True
gpt-5.5,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,philnoh2,0.95,"The bug is in UefiCpuPkg and concerns BSP/AP wake-up synchronization around freeing the AP reset vector buffer, matching philnoh2's historical UefiCpuPkg BSP/AP multiprocessor synchronization scope.",philnoh2,True
gpt-5.5,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,mdkinney,0.96,"The bug is in CryptoPkg and specifically reports a CLANG compiler build error, which matches the historical CryptoPkg CLANG build-error pattern assigned to mdkinney.",mdkinney,True
gpt-5.5,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,vit9696,0.96,"The bug concerns UEFI runtime drivers loaded after EndOfDxe not being executable by the OS, which matches the OvmfPkg policy/driver executability pattern assigned to vit9696 rather than physical memory handling by os-d.",vit9696,True
gpt-5.5,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,yechao-w,0.45,"The bug is in OvmfPkg and specifically concerns RISC-V platform support, making yechao-w the closest historical match among the available assignees despite the issue being TPM/TCG2 rather than a boot failure.",Vogtinator,False
