model,system,issue_id,title,package,is_invalid,confidence,reason,true_invalid
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.85,"This is a legitimate bug report about keyboard input handling (Backspace key) in the UEFI shell under OvmfPkg when running QEMU with -nographic mode, which relates to a real EDK II firmware component.",False
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.95,This is a genuine bug report targeting a specific EDK II package and driver (MdeModulePkg/HiiDatabaseDxe) with a parser issue in a named function.,False
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.95,This is a genuine bug report referencing a specific EDK II pull request that introduced a code issue in the SetupBrowserDxe component of MdeModulePkg.,False
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.85,"This is a genuine bug report about QEMU-KVM guest startup failure on RISC-V with OvmfPkg, which is a valid EDK II firmware component issue.",False
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.97,"This is a genuine build failure bug report for the RedfishPkg when using the CLANGPDB toolchain in IA32 NOOPT configuration, with a specific linker error that can be investigated.",False
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.98,"This is a genuine build failure bug report for RedfishPkg with a specific linker error when using CLANGPDB toolchain, which is a legitimate EDK II build infrastructure issue.",False
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.95,This is a legitimate bug report about a build infrastructure issue involving nasm version update needed to resolve IA32 CLANGDWARF linking problems in EDK II basetools.,False
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.97,"This is a genuine bug report identifying a specific commit (901c4e3) that breaks Enter key response in Arm platform firmware menus, affecting armvirtpkg/mdemodulepkg components.",False
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.97,"This is a legitimate build failure bug report affecting CryptoPkg with a specific compiler (VS2022), which is a real and investigable EDK II issue.",False
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,0.97,"This is a genuine bug report describing a crash in RealTimeClockRuntimeDxe caused by BaseRiscV64CpuTimerLib not being safe for OS-runtime use, with a specific component, package (OvmfPkg), and failure scenario identified.",False
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,0.97,"This is a valid bug report about the ECC (Efi Coding style Checker) tool silently failing in the EDK II CI pipeline for both Windows and Linux, which relates to EDK II build infrastructure and coding style enforcement tools.",False
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,False,0.95,This is a legitimate bug/feature request for ShellPkg to add MRDIMM support in the SMBIOS memory device table to comply with SMBIOS v3.8 specification.,False
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,False,0.95,This is a genuine bug report about a race condition in UefiCpuPkg where the BSP may free the AP reset vector buffer while APs are still in the process of waking up.,False
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,False,0.9,"This is a genuine build error bug report involving the CryptoPkg package with the CLANG compiler, which is a valid EDK II build infrastructure issue.",False
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,False,0.92,"This is a legitimate bug report about UEFI runtime drivers loaded after EndOfDxe not being executable by the OS, which relates to EDK II DXE dispatch and memory attribute handling in MdeModulePkg/OvmfPkg.",False
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,False,0.97,"This is a legitimate bug report about TCG2/TPM2 support not working on RISC-V in OvmfPkg, which is a genuine firmware component issue in EDK II.",False
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,False,0.95,"This is a legitimate bug report describing a potential infinite loop and incorrect device list handling in the OpalPassword driver within SecurityPkg, which is a specific EDK II firmware component.",False
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,False,0.95,"This is a valid bug report describing an assert condition when a default string ID is 0 in MdeModulePkg, which is a legitimate EDK II package issue.",False
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,False,0.95,"This is a valid bug report about a CodeQL static analysis error in NetworkPkg's NetBuffer.c, which is a legitimate EDK II code quality issue.",False
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,False,0.85,"This is a legitimate bug report requesting replacement of hardcoded values with proper #define constants in NetworkPkg, which is a valid code quality/correctness issue for the EDK II project.",False
