model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-5.4,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,Vogtinator,low,"This is an OvmfPkg/QEMU console-input behavior issue in the UEFI Shell under -nographic mode, and among the available historical OvmfPkg specialists not tied to memory, SEV, RISC-V boot, or EndOfDxe policy, Vogtinator is the closest fit.",False,Damien-Chen,False
gpt-5.4,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"This is a MdeModulePkg HiiDatabaseDxe bug specifically in GetNameElement(), which matches the established HII/HiiDatabase assignment pattern for YangGangUEFI.",False,YangGangUEFI,True
gpt-5.4,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"This is an MdeModulePkg SetupBrowserDxe bug, and historical assignments show SetupBrowser/HII form issues in this sub-component going to YangGangUEFI.",False,YangGangUEFI,True
gpt-5.4,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"This is an OvmfPkg RISC-V qemu-kvm guest boot/start failure, which matches the historical pattern for yechao-w handling RISC-V QEMU/KVM guest boot issues.",False,yechao-w,True
gpt-5.4,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error specifically in RedfishPkg, which matches the established RedfishPkg-only CLANGPDB assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-5.4,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a RedfishPkg CLANGPDB build/link error, which matches the specific historical pattern assigned to mikebeaton.",False,mikebeaton,True
gpt-5.4,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools toolchain/nuget update bug (mu_nasm release update), which matches the historical BaseTools NASM/toolchain/nuget ownership of makubacki.",False,makubacki,True
gpt-5.4,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This is an Arm platform firmware menu key-response regression tied to a specific commit hash, which matches the noted Arm firmware menu regression pattern assigned to mikebeaton rather than general MdeModulePkg HII/UI owners.",False,mikebeaton,True
gpt-5.4,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"This is a CryptoPkg build error specifically with VS2022, which matches the historical assignment pattern for ardbiesheuvel.",False,ardbiesheuvel,True
gpt-5.4,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"This is an OvmfPkg RISC-V OS-runtime crash in BaseRiscV64CpuTimerLib, which matches the specific historical pattern assigned to zevorn.",False,zevorn,True
gpt-5.4,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"This is a BaseTools CI/ECC Check failure, which matches the historical pattern assigning BaseTools ECC Check and CI issues to bexcran.",False,bexcran,True
gpt-5.4,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"This is a ShellPkg SMBIOS MemoryDevice/MRDIMM table support addition, which matches the prior pattern assigning MRDIMM and MemoryDevice table work in ShellPkg to NingFengGit.",False,NingFengGit,True
gpt-5.4,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"This is a UefiCpuPkg BSP/AP multiprocessor synchronization bug involving AP wake-up/reset vector handling, which matches philnoh2's unique assignment pattern.",False,philnoh2,True
gpt-5.4,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"The bug is in CryptoPkg and specifically describes a CLANG compiler build error, which matches the historical CryptoPkg+CLANG build-error assignee mdkinney.",False,mdkinney,True
