model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-4.1,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,yechao-w,medium,"The bug concerns keyboard input issues in the UEFI shell when running QEMU in -nographic mode on OvmfPkg, which aligns with yechao-w's assignment for QEMU-KVM guest-boot and related input/output failures on RISC-V/OvmfPkg.",False,Damien-Chen,False
gpt-4.1,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,Bugs in MdeModulePkg/HiiDatabaseDxe and GetNameElement are historically assigned to YangGangUEFI according to the documented patterns.,False,YangGangUEFI,True
gpt-4.1,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,Bugs in MdeModulePkg/SetupBrowserDxe are historically assigned to YangGangUEFI according to the documented patterns.,False,YangGangUEFI,True
gpt-4.1,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug is about QEMU-KVM guest boot failure on RISC-V in OvmfPkg, which matches yechao-w's documented assignment scope exactly.",False,yechao-w,True
gpt-4.1,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB linker error specifically in RedfishPkg, which matches the historical pattern for mikebeaton assignments.",False,mikebeaton,True
gpt-4.1,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB linker error specifically in RedfishPkg, which matches the historical pattern that assigns such bugs to mikebeaton.",False,mikebeaton,True
gpt-4.1,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug is about updating the mu_nasm nuget release in BaseTools, which matches the historical pattern of NASM/toolchain/nuget update bugs assigned to makubacki.",False,makubacki,True
gpt-4.1,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This is a regression bug referencing a specific commit that broke key response in Arm platform firmware menus, which matches the unique assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-4.1,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"The bug is a VS2022 build error in CryptoPkg, which matches ardbiesheuvel's precise assignment scope per the historical patterns.",False,ardbiesheuvel,True
gpt-4.1,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"This is an OS-runtime crash bug in the RISC-V timer library (BaseRiscV64CpuTimerLib), which matches zevorn's documented assignment scope exactly.",False,zevorn,True
