system,model,total_issues,flagged_as_duplicate,TP,FP,TN,FN,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,macro_precision,macro_recall,macro_f1,accuracy,avg_confidence_flagged
A,claude-haiku-4-5,75,10,0,10,65,0,0.0,1.0,0.0,1.0,0.8667,0.9286,0.5,0.9333,0.4643,0.8667,0.877
A,claude-opus-4-7,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.95
A,claude-sonnet-4-6,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.95
A,gpt-4.1,75,3,0,3,72,0,0.0,1.0,0.0,1.0,0.96,0.9796,0.5,0.98,0.4898,0.96,0.9167
A,gpt-4.1-mini,75,4,0,4,71,0,0.0,1.0,0.0,1.0,0.9467,0.9726,0.5,0.9733,0.4863,0.9467,0.9
A,gpt-4o,75,5,0,5,70,0,0.0,1.0,0.0,1.0,0.9333,0.9655,0.5,0.9667,0.4828,0.9333,0.9
A,gpt-4o-mini,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.9
A,gpt-5.4,75,6,0,6,69,0,0.0,1.0,0.0,1.0,0.92,0.9583,0.5,0.96,0.4792,0.92,0.9667
A,gpt-5.4-mini,75,6,0,6,69,0,0.0,1.0,0.0,1.0,0.92,0.9583,0.5,0.96,0.4792,0.92,0.9167
A,gpt-5.5,75,3,0,3,72,0,0.0,1.0,0.0,1.0,0.96,0.9796,0.5,0.98,0.4898,0.96,0.9533
B,claude-haiku-4-5,75,4,0,4,71,0,0.0,1.0,0.0,1.0,0.9467,0.9726,0.5,0.9733,0.4863,0.9467,0.935
B,claude-opus-4-7,75,3,0,3,72,0,0.0,1.0,0.0,1.0,0.96,0.9796,0.5,0.98,0.4898,0.96,0.9167
B,claude-sonnet-4-6,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.975
B,gpt-4.1,75,8,0,8,67,0,0.0,1.0,0.0,1.0,0.8933,0.9437,0.5,0.9467,0.4718,0.8933,0.8875
B,gpt-4.1-mini,75,8,0,8,67,0,0.0,1.0,0.0,1.0,0.8933,0.9437,0.5,0.9467,0.4718,0.8933,0.9125
B,gpt-4o,75,21,0,21,54,0,0.0,1.0,0.0,1.0,0.72,0.8372,0.5,0.86,0.4186,0.72,0.9048
B,gpt-4o-mini,75,5,0,5,70,0,0.0,1.0,0.0,1.0,0.9333,0.9655,0.5,0.9667,0.4828,0.9333,0.87
B,gpt-5.4,75,8,0,8,67,0,0.0,1.0,0.0,1.0,0.8933,0.9437,0.5,0.9467,0.4718,0.8933,0.965
B,gpt-5.4-mini,75,4,0,4,71,0,0.0,1.0,0.0,1.0,0.9467,0.9726,0.5,0.9733,0.4863,0.9467,0.9425
B,gpt-5.5,75,6,0,6,69,0,0.0,1.0,0.0,1.0,0.92,0.9583,0.5,0.96,0.4792,0.92,0.9117
