model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-5.4,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.91,"This is a plausible OvmfPkg/QEMU reproducible bug report about UEFI Shell keyboard input behavior in -nographic mode, and it contains enough context to investigate.",False,needs-maintainer-feedback
gpt-5.4,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.98,"This is a concrete bug report about an EDK II coding style enforcement tool configuration conflicting with the project's coding standard, which is within scope and actionable.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-5.4,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.91,"This is a plausible EDK II driver bug report in MdeModulePkg describing a missing retry mechanism in UsbMassStorageDxe for transient USB read failures, which is specific and actionable enough to investigate.",False,needs-maintainer-feedback|needs-triage
gpt-5.4,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.92,"This reports a specific bug in an EDK II firmware component (HiiDatabaseDxe/GetNameElement) with enough context to investigate, so it is a legitimate tracker issue.",False,
gpt-5.4,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.77,"This appears to be a concrete bug report against an EDK II component (SetupBrowserDxe in MdeModulePkg) and references the introducing PR, which provides enough context to investigate.",False,needs-triage
gpt-5.4,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.98,This is a plausible EDK II build infrastructure/compiler compatibility bug in ShellPkg (GCC 16 with -Werror) and contains enough information to investigate.,False,
gpt-5.4,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.81,"This appears to be a genuine EDK II/OvmfPkg virtualization boot failure on RISC-V involving qemu-kvm, which is relevant build/runtime infrastructure and specific enough to investigate.",False,needs-maintainer-feedback
gpt-5.4,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.93,"This is a concrete bug report against an EDK II package about an incorrect constant value, which is specific enough to investigate and fix.",False,needs-maintainer-feedback
gpt-5.4,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.98,"This is a concrete EDK II build failure in EmulatorPkg caused by a missing host header include, which is directly related to project build infrastructure and specific enough to investigate.",False,needs-triage
gpt-5.4,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.98,"This is a concrete EDK II build failure in RedfishPkg involving the CLANGPDB toolchain for IA32 NOOPT, which is directly within project scope and has enough detail to investigate.",False,needs-maintainer-feedback|needs-triage
