model,system,issue_id,title,package,is_invalid_pred,confidence,reason,true_invalid,correct,tp,fp,fn,tn,p_pos,r_pos,p_neg,r_neg,p_mac,r_mac,f1_pos,f1_neg,f1_mac,acc
claude-haiku-4-5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.85,"This is a valid bug report describing a specific input handling issue in OvmfPkg when running under QEMU in nographic mode, which is a legitimate EDK II firmware component problem.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.92,"This is a valid bug report about EDK II's coding style enforcement tool (Uncrustify configuration) producing output that contradicts the official Coding Standard, which relates to EDK II build infrastructure and tooling.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.92,"This is a legitimate bug report describing a missing retry mechanism for transient USB failures in a MdeModulePkg USB mass storage driver component, which is a genuine firmware reliability issue.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.92,This is a legitimate bug report for a parser issue in an EDK II package component (MdeModulePkg/HiiDatabaseDxe) that warrants investigation and potential fixes.,False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.92,"This is a legitimate bug report identifying a code issue in SetupBrowserDxe introduced by a specific PR, which is a valid EDK II component requiring investigation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"This is a valid bug report describing a build failure with a specific compiler version and flag, which is a legitimate EDK II infrastructure issue.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.85,"This is a legitimate bug report about RISC-V guest VM startup failure in OvmfPkg, which is a valid EDK II firmware package for QEMU/KVM platforms, though it lacks reproduction details and diagnostic output.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.92,"This is a legitimate bug report about a constant value mismatch in MdePkg, which is a core EDK II package defining platform-independent data structures and protocols.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.92,"This is a valid bug report describing a build failure in EmulatorPkg where a required header file (termio.h) is missing, preventing compilation on Unix-like systems.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,"This is a genuine build failure report for RedfishPkg with a specific toolchain (CLANGPDB, IA32 NOOPT) showing a linker error with undefined symbol, which is a valid EDK II build infrastructure issue.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.92,This is a legitimate build failure report for RedfishPkg with a specific linker error (_fltused undefined symbol) affecting CLANGPDB toolchain in both DEBUG and RELEASE configurations.,False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,0.95,"This is a legitimate bug report describing a build failure with a specific toolchain (CLANGDWARF), architecture (AARCH64), build type (RELEASE), and package (StandaloneMmPkg) that should be investigated by maintainers.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.85,This is a valid bug report regarding EDK II build infrastructure (BaseTools) that identifies a specific dependency update needed to resolve linker issues with a particular toolchain configuration.,False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.92,"This is a valid bug report describing a regression (broken Enter key response in firmware menus on ARM platforms) caused by a specific commit, affecting EDK II packages.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.92,"This is a genuine bug report describing a specific issue with Option ROM handling on non-x86 platforms in MdeModulePkg, which is a valid EDK II firmware component.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,0.95,"This is a legitimate bug report describing a build failure when static stack checking is enabled for X86 architecture with GCC, which is a valid EDK II build infrastructure issue requiring investigation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,0.92,"This is a legitimate bug report describing a build failure with a specific toolchain (CLANGPDB) in MdeModulePkg, which is directly relevant to EDK II build infrastructure.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,0.92,"This is a legitimate bug report about build failure with a specific toolchain (VS2022) in an EDK II package (UefiPayloadPkg), which relates to EDK II build infrastructure and is valid for the project tracker.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,0.95,"This is a legitimate bug report about a build failure with a specific toolchain (VS2022) in an EDK II package, which relates to EDK II build infrastructure and tooling.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.95,"This is a legitimate bug report describing a build failure with a specific compiler (VS2022) in the CryptoPkg component, which is a genuine issue for the EDK II project.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,False,0.92,"This is a legitimate bug report describing a build failure with a specific toolchain (CLANGPDB) in an EDK II package (MdeModulePkg), which is valid for investigation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11786,[Bug]: SetupBrowserDxe build fails with CLANGPDB,mdemodulepkg,False,0.92,"This is a legitimate bug report describing a build failure with a specific toolchain (CLANGPDB) in SetupBrowserDxe, which is a valid EDK II component that warrants investigation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11772,[Bug]: FdfParser parse include statement before conditional statement,basetools,False,0.92,"This is a legitimate bug report about FDF parser behavior in EDK II BaseTools where include statements are parsed before conditional statements, which affects the build infrastructure and is reproducible and investigable.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11764,[Bug]: SmiHandlerUnRegister  is pended forever when an unregistered SMI get called,mdemodulepkg,False,0.92,"This is a legitimate bug report describing a deadlock/hang condition in SMI handler unregistration logic within MdeModulePkg, which is a core EDK II package component.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,0.92,"This is a valid bug report describing a genuine runtime crash in EDK II firmware code where BaseRiscV64CpuTimerLib causes RealTimeClockRuntimeDxe to fail during OS runtime GetTime calls, with sufficient engagement indicating community validation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11554,[Bug]: <title> Pci command -i can't display PCIe Designated Vendor Specific Extended Capability correctly.,shellpkg,False,0.85,"This is a legitimate bug report for ShellPkg's PCI command regarding incorrect display of PCIe Designated Vendor Specific Extended Capability, which is a real functionality issue in EDK II firmware tooling.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11509,[Bug]: TCG2/TPM2 support on aarch64 does not work,ovmfpkg,False,0.95,"This is a legitimate bug report about TPM2/TCG2 functionality on aarch64 architecture in OvmfPkg, a real EDK II firmware package, with sufficient engagement to warrant investigation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,0.92,"This is a valid bug report about EDK II's build infrastructure (ECC checking tool in BaseTools) failing silently in CI environments, which is directly related to EDK II coding style enforcement.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11480,[Bug]: boot stuck in aarch64 uefi,armpkg|armplatformpkg|armvirtpkg,False,0.85,"This is a legitimate bug report for ARM-based EDK II platforms with reproducible boot failure symptoms, though it lacks detailed reproduction steps and would benefit from additional technical information for investigation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11462,[Bug]: LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX value does not match the UEFI specification,mdepkg,False,0.92,"This is a valid bug report claiming a constant value in MdePkg does not match the UEFI specification, which is a legitimate firmware development issue requiring investigation and correction.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
