model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-4.1-mini,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,yechao-w,high,"The bug involves QEMU guest behavior on RISC-V (QEMU -nographic mode), matching yechao-w's assignment for QEMU-KVM guest boot failures on RISC-V in OvmfPkg.",False,Damien-Chen,False
gpt-4.1-mini,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is in MdeModulePkg/HiiDatabaseDxe GetNameElement, which historically YangGangUEFI has been assigned for HiiDatabaseDxe and GetNameElement bugs.",False,YangGangUEFI,True
gpt-4.1-mini,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,The bug is in SetupBrowserDxe within MdeModulePkg and EricGao2015 has historically been assigned SetupBrowserDxe and related UI form bugs.,False,YangGangUEFI,False
gpt-4.1-mini,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"The bug involves qemu-kvm guest start failure on RISC-V, which matches yechao-w's assignment for RISC-V QEMU-KVM guest-boot failure bugs in OvmfPkg.",False,yechao-w,True
gpt-4.1-mini,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB build/link error specifically in RedfishPkg, which historically is assigned to mikebeaton.",False,mikebeaton,True
gpt-4.1-mini,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"The bug is a CLANGPDB linker error in RedfishPkg, which historically is assigned to mikebeaton exclusively.",False,mikebeaton,True
gpt-4.1-mini,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"The bug involves updating the mu_nasm nuget release in BaseTools, and makubacki is historically assigned NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
gpt-4.1-mini,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"The bug involves a regression breaking key response in Arm platform firmware menus, which historically is assigned to mikebeaton.",False,mikebeaton,True
gpt-4.1-mini,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg VS2022 build errors are specifically assigned to ardbiesheuvel according to historical patterns.,False,ardbiesheuvel,True
gpt-4.1-mini,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"The bug involves BaseRiscV64CpuTimerLib OS-runtime crash on RISC-V, which matches zevorn's assignment for OS-runtime crash bugs in RISC-V timer libs.",False,zevorn,True
gpt-4.1-mini,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"The bug involves ECC Check failures in BaseTools CI, which matches bexcran's historical assignment for ECC Check / CI failure bugs in BaseTools.",False,bexcran,True
gpt-4.1-mini,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"The bug is about adding MRDIMM support in ShellPkg SMBIOS, which matches NingFengGit's historical assignment for MRDIMM/MemoryDevice table additions in ShellPkg SMBIOS.",False,NingFengGit,True
gpt-4.1-mini,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"The bug involves BSP/AP multiprocessor synchronization in UefiCpuPkg, which matches philnoh2's unique assignment domain.",False,philnoh2,True
gpt-4.1-mini,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"The bug is a CLANG compiler build error in CryptoPkg, which matches mdkinney's historical assignment pattern precisely.",False,mdkinney,True
gpt-4.1-mini,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,The bug about UEFI runtime drivers loaded after EndOfDxe not being executable by OS matches vit9696's assignment for OvmfPkg policy bugs related to runtime driver executability after EndOfDxe.,False,vit9696,True
gpt-4.1-mini,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,high,"The bug involves TCG2/TPM2 support on RISC-V in OvmfPkg, and yechao-w is assigned to RISC-V QEMU guest-boot failure bugs in OvmfPkg, making them the best fit.",False,Vogtinator,False
gpt-4.1-mini,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"The bug is in SecurityPkg related to OpalPassword device list handling, which matches HunterChang030's unique assignment domain exactly.",False,HunterChang030,True
gpt-4.1-mini,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,"The bug involves an assert related to string IDs in MdeModulePkg, matching EricGao2015's historical assignment for assert/string-id bugs in SetupBrowser and related UI forms.",False,EricGao2015,True
gpt-4.1-mini,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"The bug is a CodeQL error in NetworkPkg, and BritChesley is historically assigned CodeQL/static-analysis bugs in NetworkPkg.",False,BritChesley,True
gpt-4.1-mini,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,1,needs-triage,SaloniKasbekar,high,"The bug involves replacing hardcoded values with #define constants in NetworkPkg, which matches SaloniKasbekar's assignment for hardcoded-value/define-constant bugs in NetworkPkg.",False,SaloniKasbekar,True
gpt-4.1-mini,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,0,nan,wenbhou,high,"The bug involves variable store and FTW spare block recovery in MdeModulePkg, which matches wenbhou's assigned domain exactly.",False,wenbhou,True
gpt-4.1-mini,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,2,needs-maintainer-feedback,lgao4,high,"InstallProtocolInterface() is a core DXE infrastructure function in MdeModulePkg historically assigned to lgao4, not to YangGangUEFI or others.",False,lgao4,True
gpt-4.1-mini,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,1,nan,AshrafAliS,low,"The bug is labeled 'package:other' and relates to adding an Ask deepwiki entry, which is closest to a documentation or tooling task historically assigned to AshrafAliS for BaseTools-related non-code issues.",False,lgao4,False
gpt-4.1-mini,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,14,needs-maintainer-feedback|needs-triage,os-d,high,"The bug involves FreePages() and memory overwriting in OVMF build, matching os-d's assignment for physical memory and FreePages() bugs in OvmfPkg.",False,os-d,True
gpt-4.1-mini,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,7,needs-triage,EricGao2015,high,"The bug involves Device Manager forms in MdeModulePkg, which historically have been assigned to EricGao2015.",False,EricGao2015,True
gpt-4.1-mini,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,5,needs-maintainer-feedback|needs-triage,jxu023,high,"The bug involves SEV and SEV-ES VM boot issues related to AmdSvsm, which historically are assigned to jxu023 for OvmfPkg SEV/SEV-ES virtualization bugs.",False,jxu023,True
gpt-4.1-mini,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,Setup Hotkey display bugs in MdeModulePkg have historically been assigned to EricGao2015.,False,EricGao2015,True
gpt-4.1-mini,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,4,needs-maintainer-feedback,os-d,high,"The bug is a build failure in OvmfPkg related to FV size, which aligns with os-d's assignment for physical memory and build/link errors in OvmfPkg.",False,r1chard-lyu,False
