model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-haiku-4-5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,Damien-Chen,low,"This is an OvmfPkg QEMU terminal input issue (backspace in nographic mode) that doesn't match any of the well-defined assignment patterns for os-d (physical memory), vit9696 (runtime policy), yechao-w (RISC-V boot), or jxu023 (SEV); Damien-Chen has been assigned other QEMU/OvmfPkg terminal/input related issues not covered by other specialists.",False,Damien-Chen,True
claude-haiku-4-5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"Bug is in MdeModulePkg/HiiDatabaseDxe GetNameElement() function, which is a core HII component that YangGangUEFI has been consistently assigned to handle.",False,YangGangUEFI,True
claude-haiku-4-5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"Bug is in SetupBrowserDxe (core HII/Setup Browser component), which is explicitly assigned to YangGangUEFI per historical patterns, and references a specific PR that likely introduced a regression.",False,YangGangUEFI,True
claude-haiku-4-5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"Bug is a QEMU-KVM guest boot failure on RISC-V, which matches yechao-w's assigned domain of RISC-V QEMU boot issues.",False,yechao-w,True
claude-haiku-4-5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB linker error in RedfishPkg with undefined symbol (_memcpy) matches mikebeaton's established pattern of handling CLANGPDB build/link errors specifically in RedfishPkg.,False,mikebeaton,True
claude-haiku-4-5,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,CLANGPDB linker error in RedfishPkg matches mikebeaton's specific assignment scope (CLANGPDB build/link errors in RedfishPkg only).,False,mikebeaton,True
claude-haiku-4-5,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools nuget/NASM toolchain update bug (mu_nasm 2.16.01), which matches makubacki's historical assignment pattern for NASM and toolchain updates in BaseTools.",False,makubacki,True
claude-haiku-4-5,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This is a regression bug where a specific commit (901c4e3) broke key response in Arm platform firmware menus, matching mikebeaton's assigned pattern for Arm firmware menu key-response regression bugs.",False,mikebeaton,True
claude-haiku-4-5,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg build error with VS2022 matches the established pattern of ardbiesheuvel handling VS2022 build errors in CryptoPkg.,False,ardbiesheuvel,True
claude-haiku-4-5,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"BaseRiscV64CpuTimerLib is a RISC-V timer library runtime crash bug, which matches zevorn's assigned domain of OS-runtime crash bugs in RISC-V timer libs.",False,zevorn,True
claude-haiku-4-5,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,ECC Check CI failure in BaseTools is a direct match for bexcran's assigned bug type per historical patterns.,False,bexcran,True
claude-haiku-4-5,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,ShellPkg SMBIOS MemoryDevice table additions for MRDIMM support matches NingFengGit's historical assignment pattern for MRDIMM / MemoryDevice table additions in ShellPkg SMBIOS.,False,NingFengGit,True
claude-haiku-4-5,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"Bug describes BSP/AP multiprocessor synchronisation issue with reset vector buffer management during AP wake-up, which matches philnoh2's assigned domain in UefiCpuPkg.",False,philnoh2,True
