model,system,issue_id,title,package,is_duplicate,duplicate_of,duplicate_title,confidence,reason
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about keyboard backspace not working in UEFI shell when QEMU is launched with -nographic mode.
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,,,0.95,"The query issue is about a parser bug in HiiDatabaseDxe's GetNameElement() function, which is unrelated to any of the candidate issues covering SetupBrowserDxe, build errors, linker issues, or CryptoPkg problems."
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,,,0.1,"The query issue is about a specific code bug in SetupBrowserDxe introduced by PR #11686, while none of the candidates report the same bug in the same component."
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,,,0.1,"While both issues #11965 and #11360 relate to RISC-V on OVMF, #11965 is about QEMU-KVM guest startup failure while #11360 is specifically about TCG2/TPM2 support not working on RISC-V."
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,,,0.15,"Issue #11882 reports an undefined symbol '_memcpy' error in CLANGPDB IA32 NOOPT builds, while the closest candidate #11881 reports a different undefined symbol '_fltused' in DEBUG/RELEASE builds — same package and toolchain but different symbols and build configurations."
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,,,0.15,"Although issue #11882 is closely related (same package, same toolchain, same build type of error), it reports a different undefined symbol (_memcpy vs _fltused), making them distinct bugs."
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,,,0.05,"The query issue is about updating mu_nasm nuget to resolve IA32 CLANGDWARF link issues, while none of the candidates report the same bug or request the same change."
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,,,0.05,None of the candidate issues report the same bug about commit 901c4e3 breaking Enter key response in Arm platform firmware menus.
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,,,0.1,"No candidate issue reports the same bug of CryptoPkg failing to build specifically with VS2022; the closest candidate (#11391) is about a CLANG compiler build error, not VS2022."
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,,,0.05,None of the candidate issues describe the same bug about BaseRiscV64CpuTimerLib being unsafe for OS-runtime causing crashes in RealTimeClockRuntimeDxe.
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,,,0.0,None of the candidate issues relate to ECC check silently failing in edk2 CI for Windows and Linux in basetools.
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,False,,,0.05,None of the candidate issues report the same bug about adding MRDIMM support in MemoryDeviceMemoryTechnologyTable for SMBIOS v3.8 compliance.
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,False,,,0.0,None of the candidate issues relate to BSP freeing AP reset vector buffer during AP wake-up in ueficpupkg.
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,False,,,0.2,"While issue #11790 also involves CryptoPkg build failures, it is specific to VS2022 compiler whereas the query issue involves the CLANG compiler, making them distinct bugs."
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about UEFI runtime drivers loaded after EndOfDxe not being executable by the OS.
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about TCG2/TPM2 support on RISC-V not working in OvmfPkg.
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,False,,,0.0,None of the candidate issues relate to infinite loops or DeviceList handling in OpalPassword within securitypkg.
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,False,,,0.1,None of the candidate issues report the same bug about an assert triggered when a default string ID is 0 in MdeModulePkg.
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,False,,,0.05,"The query issue is about a CodeQL error in NetBuffer.c (NetworkPkg), which is unrelated to any of the candidate issues covering build errors, linker warnings, or parser issues in different packages."
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,False,,,0.05,"The query issue is about replacing a hardcoded value with a #define constant in networkpkg, which is unrelated to any of the candidate issues."
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,False,,,0.98,"The query issue is about Var Store failing to recover from FTW spare block after corruption, which is unrelated to any of the candidate issues covering OvmfPkg build failures, RedfishPkg build errors, SEV boot issues, or NASM updates."
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,False,,,0.05,No candidate issue reports the same bug about InstallProtocolInterface() not updating the key of an existing handle.
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,False,,,0.0,None of the candidate issues match the query issue about adding an 'Ask deepwiki' entry.
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,False,,,0.05,None of the candidate issues report the same bug about OVMF default build overwriting memory on FreePages() causing page faults when pages are not writable.
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,False,,,0.95,None of the candidate issues describe the same bug about Raid card option ROM not displaying in Device Manager after repair in Driver Health form.
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about SEV/SEV-ES VM boot being broken due to a faulty check in AmdSvsmIsSvsmPresent().
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,False,,,0.05,None of the candidate issues report the same bug about an unexpected black box appearing at Setup Hotkey Region.
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,False,,,0.95,None of the candidate issues report an OvmfPkg build failure due to insufficient FV size in edk2-stable202502.
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,False,,,0.1,None of the candidate issues report the same unresolved external symbol __security_pop_cookie linker error for AARCH64 in SafeString.obj within MdePkg.
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,False,,,0.0,"The query issue is about FSP-T arch UPD TemporaryRamSize configuration in intelfsp2pkg, which is unrelated to any of the candidate issues."
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,False,,,0.1,None of the candidate issues report the same bug about DXE core memory protection causing inconsistency between GCD internal data structure and CPU page table.
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,False,,,0.05,No candidate issue reports the same bug about adding ARMV9 support to the SmbioView command's Type 4 processor information handling.
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,False,,,0.98,None of the candidate issues relate to updating OpenSSL to 3.4.1 for CVE-2024-13176 in cryptopkg.
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,False,,,0.05,None of the candidate issues report the same bug about QEMU_EFI not loading network protocol drivers or the http EFI command failing.
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,False,,,0.05,None of the candidate issues report the same bug about CLANGPDB linker warning '/align without /driver'; they cover different build errors or unrelated topics.
