model,system,issue_id,title,package,predicted_priority,true_priority,confidence,reason
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,low,low,0.75,"Keyboard backspace not working in QEMU -nographic mode is a UI/input bug limited to a specific non-default configuration, similar to other low-priority display and input issues in the examples."
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,low,medium,0.6,"Parser issues in HiiDatabaseDxe are typically functional/cosmetic bugs without direct security or crash implications, similar to other low-priority MdeModulePkg bugs like 'Assert if default string id is 0' and 'Code issue in SetupBrowserDxe'."
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,medium,low,0.5,"A code issue introduced by a specific PR in SetupBrowserDxe (MdeModulePkg) suggests a functional bug, similar in nature to other medium-priority MdeModulePkg bugs, though without body details the severity is uncertain."
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,medium,medium,0.5,"A RISC-V guest boot failure in QEMU/KVM relates to a functional bug on a specific platform/architecture combination, similar to 'TCG2/TPM2 support on RISC-V does not work' which was labeled medium, indicating a platform-specific functional failure with a limited scope."
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,medium,medium,0.95,"This is nearly identical to the existing labeled example 'RedfishPkg fails to build with lld-link: error: undefined symbol: _fltused in CLANGPDB' which was labeled medium, as it's a build failure limited to a specific compiler (CLANGPDB) and configuration (IA32 NOOPT)."
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,medium,medium,0.95,This is nearly identical to the existing labeled example '[Bug]: RedfishPkg fails to build with lld-link: error: undefined symbol: _memcpy in CLANGPDB (IA32 NOOPT)' which was classified as medium — a build failure limited to a specific compiler/toolchain (CLANGPDB) rather than blocking all configurations.
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,medium,high,0.75,"A build failure limited to a specific toolchain (IA32 CLANGDWARF) is analogous to the medium-priority RedfishPkg CLANGPDB link failures, affecting only a specific compiler/toolchain combination rather than all configurations."
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,medium,high,0.7,"A regression that breaks Enter key response in Arm platform firmware menus is a functional bug affecting user interaction with firmware UI on a specific platform, similar to other functional regressions labeled medium, though not severe enough to be high (workaround may exist and it's platform-specific)."
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,high,medium,0.72,"A build failure in CryptoPkg with VS2022 blocks all users of that compiler, similar to the previous 'Encountering a build error with the CLANG compiler' in CryptoPkg which was labeled high."
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,medium,high,0.7,"A crash in RealTimeClockRuntimeDxe's gRT->GetTime is a functional bug affecting OS-runtime operations, but it has a specific scope (RISC-V platform, specific library) and is not a universal build failure or security vulnerability, similar to other medium-priority RISC-V or runtime functional bugs in the examples."
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,medium,low,0.6,"A silently failing ECC check in CI means code quality enforcement is broken without blocking builds, similar in scope to other CI/toolchain issues labeled medium."
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,medium,medium,0.75,"Similar to the ShellPkg ARMV9 smbios support issue which was labeled medium, this is a missing feature required for SMBIOS v3.8 spec compliance, a published and widely adopted specification."
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,high,medium,0.75,"A race condition where the BSP frees the AP reset vector buffer while APs are still using it during wake-up could cause crashes or data corruption during CPU initialization, which is a critical firmware stability issue with no clear workaround."
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,medium,high,0.75,"Similar to 'CryptoPkg cannot be built with VS2022' which was labeled medium, this is a build failure limited to a specific compiler (CLANG) rather than blocking all configurations for all users."
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,medium,medium,0.6,"This is a functional bug where UEFI runtime drivers loaded after EndOfDxe lack executable permissions for the OS, which has a workaround (load drivers before EndOfDxe) and affects a specific configuration rather than all users."
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,medium,medium,0.6,"TCG2/TPM2 support not working on RISC-V is a functional bug affecting a specific platform/architecture combination, similar to the 'qemu-kvm GUEST start failed on RISC-V' issue labeled medium, with a workaround possible by not using TPM features."
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,medium,medium,0.6,"A potential infinite loop in OpalPassword handling is a functional bug that could cause system hangs, but it requires specific device conditions to trigger and has no direct security exploitation path in the UEFI threat model, making it medium severity similar to other functional bugs with workarounds."
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,low,low,0.7,"An assert on a default string id of 0 in mdemodulepkg is a defensive coding/edge-case bug similar to other low-priority mdemodulepkg cosmetic or non-critical issues, with no indication of crashes in normal usage or data corruption."
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,low,low,0.75,"CodeQL errors are typically code quality/static analysis findings that don't block builds, similar to the 'CLANGPDB linker warning' and 'ECC Check Silently Fails' examples which were labeled low."
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,low,low,0.92,"Replacing a hardcoded value with an existing #define constant is a code quality/cosmetic improvement with no functional impact, similar to other low-priority code quality issues in the examples."
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,medium,high,0.65,"A failure to recover variable store from FTW spare block after corruption is a functional bug in MdeModulePkg that could cause data loss or boot failures, but has workarounds (reflashing/resetting variables), placing it in the medium priority category similar to other MdeModulePkg functional bugs in the examples."
claude-sonnet-4-6,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,medium,low,0.6,"A bug in InstallProtocolInterface() not updating the key of an existing handle is a functional correctness issue in MdeModulePkg's core DXE infrastructure that could affect protocol dispatch behavior, similar in severity to other MdeModulePkg functional bugs labeled medium."
claude-sonnet-4-6,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,low,low,0.7,"Adding a deepwiki entry is a documentation/cosmetic change with no functional impact on firmware operation, analogous to other low-priority documentation and code quality issues in the examples."
claude-sonnet-4-6,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,high,low,0.75,"A bug causing page faults due to memory overwrite on FreePages() in a default OVMF build constitutes a crash/data corruption issue affecting all users of the default configuration, similar to other high-priority memory corruption and crash bugs in the examples."
claude-sonnet-4-6,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,low,low,0.7,"This is a UI/display bug in the Device Manager form where an option ROM is not shown after a repair action, similar to other cosmetic/display bugs in mdemodulepkg labeled low, and it does not prevent interaction with firmware or cause crashes/data corruption."
claude-sonnet-4-6,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,high,high,0.85,"SEV and SEV-ES VM boot is completely broken due to a faulty check, which is a crash/boot failure affecting all users of those configurations in OvmfPkg, similar to 'qemu-kvm GUEST start failed on RISC-V' and 'BaseRiscV64CpuTimerLib crashes RealTimeClockRuntimeDxe' which were labeled high."
claude-sonnet-4-6,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,low,low,0.85,"A black box appearing in the Setup Hotkey Region is a cosmetic/display issue that does not prevent user interaction or cause data corruption, consistent with similar low-priority UI display bugs in mdemodulepkg examples."
claude-sonnet-4-6,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,high,medium,0.72,"A build failure in OvmfPkg due to insufficient FV size blocks all users building that configuration, similar to other high-priority build failures that affect all configurations."
claude-sonnet-4-6,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,medium,medium,0.75,"This is a build failure limited to a specific architecture (AARCH64) and likely a specific toolchain configuration, similar to the CLANGPDB-specific build failures labeled medium."
claude-sonnet-4-6,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,medium,medium,0.6,"A functional bug where FSP-T arch UPD configuration for TemporaryRamSize is not working as expected represents a spec compliance/functional issue (FSP spec 2.5 feature not working correctly) with potential workarounds, similar in severity to other functional bugs labeled medium."
claude-sonnet-4-6,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,medium,high,0.65,"A memory protection feature causing inconsistency between GCD internal data structures and CPU page tables is a functional bug that could cause instability, but likely has workarounds (disabling memory protection), placing it at medium severity similar to other mdemodulepkg functional bugs."
claude-sonnet-4-6,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,medium,medium,0.7,"Similar to the ShellPkg MRDIMM/SMBIOS v3.8 issue labeled medium, this is a missing feature/spec compliance gap for ARMV9 processor type information in SmbioView, which is a published spec addition."
claude-sonnet-4-6,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,low,low,0.75,"CVE updates for OpenSSL in UEFI firmware are typically low priority per domain knowledge rule #1, as the vulnerable code path may not be reachable during UEFI execution; this is a maintenance update rather than an actively exploitable security issue in the UEFI threat model."
claude-sonnet-4-6,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,medium,low,0.6,"Network protocol drivers not loading on QEMU_EFI is a functional bug with a potential workaround (different configuration), similar to the RISC-V QEMU boot failure and TCG2/TPM2 support issues both labeled medium."
claude-sonnet-4-6,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,low,low,0.7,"A linker warning in CLANGPDB that does not block the build is low priority, similar to other warning-level issues in the examples that were labeled low."
claude-sonnet-4-6,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,medium,low,0.6,"A DXE_ASSERT triggered by a shell command (drvcfg) indicates a functional bug that causes a crash in a specific code path, similar in severity to other medium-priority functional bugs with workarounds in ShellPkg."
claude-sonnet-4-6,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,low,high,0.6,"This is a BaseTools FMMT edge case fix for a None dereference, similar in nature to cosmetic/code quality improvements in non-critical tooling paths, with no indication of build blockage or security impact."
