model,system,issue_id,title,package,is_invalid_pred,confidence,reason,true_invalid,correct,tp,fp,fn,tn,p_pos,r_pos,p_neg,r_neg,p_mac,r_mac,f1_pos,f1_neg,f1_mac,acc
claude-haiku-4-5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.85,"This is a valid bug report describing a reproducible functional issue with keyboard input handling in UEFI shell under specific QEMU conditions, which relates to OvmfPkg firmware behavior.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.92,"This is a valid bug report about EDK II's coding style enforcement tool (Uncrustify) producing output that contradicts the project's documented Coding Standard, which relates to EDK II build infrastructure and code formatting tools.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,0.85,"This is a legitimate bug report describing a missing retry mechanism in a USB mass storage driver that should handle transient failures, which is a genuine firmware reliability issue.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.85,"This is a legitimate bug report for a parser issue in an EDK II package component (MdeModulePkg/HiiDatabaseDxe), which is a valid firmware module that requires investigation.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.85,"This is a legitimate bug report identifying a code issue introduced by a specific pull request in MdeModulePkg's SetupBrowserDxe module, which is a valid EDK II firmware component.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,0.95,"This is a legitimate build failure report for ShellPkg with a newer GCC compiler version, which is a valid EDK II issue as it affects the build infrastructure and toolchain compatibility.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.75,"This is a legitimate bug report describing a RISC-V guest boot failure in OVMF, which is an EDK II firmware package, though it lacks reproduction details and the single comment suggests insufficient information has been provided.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.92,This is a legitimate bug report about a constant value mismatch in MdePkg that requires investigation and potential correction.,False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,0.92,"This is a legitimate build failure in EmulatorPkg related to a missing header file (termio.h) on Unix systems, which is a valid EDK II build infrastructure issue.",False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
claude-haiku-4-5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.95,This is a legitimate build failure bug report for EDK II's RedfishPkg with a specific toolchain configuration (CLANGPDB IA32 NOOPT) and undefined symbol linker error that requires investigation.,False,True,0,1,1,73,0.0,0.0,0.9865,0.9865,0.4932,0.4932,0.0,0.9865,0.4932,0.9733
