model,issue_id,title,package,is_invalid,confidence,reason,true_invalid,state
gpt-4.1,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.95,"This is a genuine bug report about keyboard input not working in the UEFI shell under a specific QEMU mode, which is relevant to EDK II firmware and can be investigated.",False,needs-maintainer-feedback
gpt-4.1,12077,[Bug]: Uncrustify configuration formats DEBUG macros incorrectly (contradicts Coding Standard 5.2.2.4),other,False,0.98,"This issue reports a problem with the Uncrustify configuration, which is part of EDK II's coding style enforcement tools and relates to the project's infrastructure.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,12073,[Bug]: UsbMassStorageDxe: UsbMassReadBlocks lacks retry mechanism for transient USB failures,mdemodulepkg,False,1.0,"This is a genuine bug report about a missing retry mechanism in a specific EDK II driver, which is within project scope.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.95,"The issue reports a parser problem in the GetNameElement() function of HiiDatabaseDxe, which is a genuine bug report related to EDK II firmware components.",False,
gpt-4.1,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.95,"The issue reports a code problem in SetupBrowserDxe related to a recent pull request, which is a valid bug report for an EDK II component.",False,needs-triage
gpt-4.1,12043,[Bug]: edk2:Shell won't build with GCC 16 with -Werror,shellpkg,False,1.0,"This is a genuine bug report about a build failure in ShellPkg with a specific compiler version and flag, which is valid for EDK II.",False,
gpt-4.1,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.95,"The issue reports a guest startup failure on qemu-kvm for RISC-V using OvmfPkg, which is a valid bug report related to EDK II firmware components.",False,needs-maintainer-feedback
gpt-4.1,11948,[Bug]: Mismatch in the value of LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX,mdepkg,False,0.95,"The issue reports a mismatch in a defined value, which is a legitimate bug report related to EDK II code.",False,needs-maintainer-feedback
gpt-4.1,11895,[Bug]: /EmulatorPkg/Unix/Host/Host.h:69:12: fatal error: termio.h: No such file or directory,emulatorpkg,False,1.0,"This is a genuine build failure report for EmulatorPkg, which is a valid issue for EDK II.",False,needs-triage
gpt-4.1,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,1.0,"This is a genuine build failure report for RedfishPkg with specific toolchain and configuration details, making it a valid issue.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,1.0,"This is a genuine build failure report for RedfishPkg with CLANGPDB, which is valid for EDK II issue tracking.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,11878,[Bug]: CLANGDWARF cannot build RELEASE AARCH64 StandaloneMmPkg,standalonemmpkg,False,1.0,"This is a genuine bug report about a build failure in StandaloneMmPkg with a specific toolchain and platform, which is valid for EDK II.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.98,"This issue requests an update to a build tool (mu_nasm) to resolve a specific linker problem with IA32 CLANGDWARF, which is relevant to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.95,"The issue reports a regression caused by a specific commit affecting firmware menu functionality on Arm platforms, which is a valid bug report for EDK II.",False,needs-triage
gpt-4.1,11800,[Bug]: non-x86 Option Rom never be reached if multiple Option Rom images are found on non-x86 platform.,mdemodulepkg,False,0.95,"The issue describes a potential bug affecting Option ROM handling on non-x86 platforms, which is relevant to EDK II firmware development and warrants investigation.",False,needs-triage
gpt-4.1,11797,[Bug]: Build error when STATIC Stack check is enabled on X86 Architectures on GCC Build,mdepkg,False,1.0,"This is a genuine bug report about a build error related to stack checking on x86 with GCC, which is relevant to EDK II build infrastructure.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11793,[Bug]: BdsDxe build fails with CLANGPDB,mdemodulepkg,False,1.0,"This is a genuine bug report about a build failure in an EDK II package with a specific toolchain (CLANGPDB), which is valid for the project tracker.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,11792,[Bug]: UefiPayloadPkg cannot be built with VS2022,uefipayloadpkg,False,1.0,"This is a genuine bug report about a build failure in UefiPayloadPkg with a specific compiler, which is valid for EDK II.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11791,[Bug]: SignedCapsulePkg cannot be built with VS2022,signedcapsulepkg,False,1.0,"This is a genuine build failure report for an EDK II package with a specific toolchain, which is valid for the project tracker.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,1.0,"This is a valid bug report about a build failure in CryptoPkg with a specific compiler, which is directly relevant to EDK II development.",False,needs-maintainer-feedback
gpt-4.1,11787,[Bug]: HiiDatabaseDxe build fails with CLANGPDB,mdemodulepkg,False,0.95,"This is a genuine bug report about a build failure in an EDK II module with a specific toolchain, which is valid for the project tracker.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,11786,[Bug]: SetupBrowserDxe build fails with CLANGPDB,mdemodulepkg,False,1.0,"This is a genuine bug report about a build failure in an EDK II module with a specific toolchain, which is valid for the project tracker.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,11772,[Bug]: FdfParser parse include statement before conditional statement,basetools,False,0.98,"This issue reports a bug in the FDF parser's handling of include and conditional statements, which is a valid concern for BaseTools and similar to previously accepted issues.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11764,[Bug]: SmiHandlerUnRegister  is pended forever when an unregistered SMI get called,mdemodulepkg,False,0.95,"The issue describes a potential bug in SmiHandlerUnRegister behavior within an EDK II package, which is relevant and actionable for firmware development.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,1.0,"This is a genuine bug report about a crash in a specific EDK II library affecting OS-runtime behavior, which is within project scope.",False,
gpt-4.1,11554,[Bug]: <title> Pci command -i can't display PCIe Designated Vendor Specific Extended Capability correctly.,shellpkg,False,0.98,"This is a genuine bug report about the 'pci' shell command not displaying PCIe DVSEC correctly, which is a valid EDK II firmware component.",False,needs-triage
gpt-4.1,11509,[Bug]: TCG2/TPM2 support on aarch64 does not work,ovmfpkg,False,1.0,"This is a genuine bug report about TCG2/TPM2 support on aarch64 in OvmfPkg, which is a relevant EDK II firmware component.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,1.0,"This is a genuine bug report about the ECC check (a code style enforcement tool) silently failing in EDK II CI, which is relevant to the project's build infrastructure.",False,
gpt-4.1,11480,[Bug]: boot stuck in aarch64 uefi,armpkg|armplatformpkg|armvirtpkg,False,0.95,"The issue reports a boot problem on AArch64 UEFI, relates to ARM EDK II packages, and has high engagement, indicating a genuine bug report.",False,needs-maintainer-feedback|needs-owner|needs-triage
gpt-4.1,11462,[Bug]: LAST_ATTEMPT_STATUS_ERROR_UNSUCCESSFUL_VENDOR_RANGE_MAX value does not match the UEFI specification,mdepkg,False,1.0,"The issue reports a discrepancy between a defined value in MdePkg and the UEFI specification, which is a valid bug report related to EDK II firmware components.",False,needs-maintainer-feedback|needs-triage
gpt-4.1,11460,[Bug]: OVMF secure boot settings unusable with serial console,ovmfpkg,False,0.95,"The issue reports a problem with OVMF secure boot settings when using a serial console, which is a valid bug report related to EDK II firmware functionality.",False,needs-owner|needs-triage
gpt-4.1,11453,[Bug]: AsciiSPrint does not handle %s correctly,ovmfpkg,False,0.95,"The issue reports a potential bug in the AsciiSPrint function, which is a core EDK II utility, and has enough engagement to suggest it is a genuine problem.",False,needs-owner|needs-triage
gpt-4.1,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,False,0.98,"This is a legitimate feature request to add MRDIMM support in accordance with SMBIOS v3.8, which is relevant to EDK II's firmware and industry standard support.",False,needs-maintainer-feedback
gpt-4.1,11428,[Bug]: Terminal layout issue in Boot Manager when running qemu-system-x86_64 with -nographic,ovmfpkg,False,0.95,"The issue reports a bug in the Boot Manager's terminal layout when using QEMU with -nographic, which is a valid EDK II use case and relates to OvmfPkg functionality.",False,needs-triage
