model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
claude-sonnet-4-6,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,AshrafAliS,low,"This is an OvmfPkg keyboard/serial input bug in QEMU -nographic mode that doesn't clearly match any of the specific historical patterns listed, so defaulting to a less-frequent assignee with OvmfPkg scope.",False,Damien-Chen,False
claude-sonnet-4-6,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"The bug is in MdeModulePkg/HiiDatabaseDxe and specifically involves a parser issue in GetNameElement(), which directly matches the historical pattern of YangGangUEFI being assigned HiiDatabaseDxe and GetNameElement bugs.",False,YangGangUEFI,True
claude-sonnet-4-6,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"The bug is in SetupBrowserDxe within MdeModulePkg, which matches the historical pattern where YangGangUEFI is assigned SetupBrowserDxe bugs.",False,YangGangUEFI,True
claude-sonnet-4-6,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"This is a QEMU-KVM guest boot failure on RISC-V in OvmfPkg, which exactly matches yechao-w's assigned domain of QEMU-KVM guest-boot failure bugs on RISC-V.",False,yechao-w,True
claude-sonnet-4-6,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error in RedfishPkg (undefined symbol _memcpy), which matches exactly the historical pattern of mikebeaton being assigned CLANGPDB build/link errors in RedfishPkg.",False,mikebeaton,True
claude-sonnet-4-6,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error in RedfishPkg (undefined symbol _fltused), which matches exactly the historical pattern of mikebeaton being assigned CLANGPDB build/link errors in RedfishPkg.",False,mikebeaton,True
claude-sonnet-4-6,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools NASM/nuget update bug, which matches the historical pattern of makubacki being assigned NASM/toolchain/nuget update bugs in BaseTools.",False,makubacki,True
claude-sonnet-4-6,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This bug references a specific commit hash (901c4e3) that broke Enter key response in Arm platform firmware menus, which exactly matches the historical pattern of mikebeaton being assigned regression bugs referencing a commit hash in Arm platform firmware menus.",False,mikebeaton,True
claude-sonnet-4-6,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,CryptoPkg build failure with VS2022 matches exactly the historical pattern where ardbiesheuvel is assigned VS2022 build error bugs in CryptoPkg.,False,ardbiesheuvel,True
claude-sonnet-4-6,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"This bug is specifically about BaseRiscV64CpuTimerLib crashing at OS-runtime, which matches exactly the historical pattern: zevorn has been assigned OS-runtime crash bugs in RISC-V timer libs (BaseRiscV64CpuTimerLib).",False,zevorn,True
claude-sonnet-4-6,B,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"The bug is in BaseTools and specifically concerns ECC Check / CI failures, which exactly matches bexcran's historical assignment pattern.",False,bexcran,True
claude-sonnet-4-6,B,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"This bug is about adding MRDIMM support to the MemoryDeviceMemoryTechnologyTable in ShellPkg SMBIOS, which directly matches the historical pattern for NingFengGit who handles MRDIMM/MemoryDevice table additions in ShellPkg SMBIOS.",False,NingFengGit,True
claude-sonnet-4-6,B,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"This is a UefiCpuPkg BSP/AP multiprocessor synchronisation bug (BSP freeing AP reset vector buffer while AP wake-up is in progress), which precisely matches philnoh2's assigned bug type.",False,philnoh2,True
claude-sonnet-4-6,B,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"The bug is a CLANG compiler build error in CryptoPkg, which matches the historical pattern where mdkinney is assigned CLANG compiler build error bugs in CryptoPkg (as distinct from ardbiesheuvel who handles VS2022 build errors in CryptoPkg).",False,mdkinney,True
claude-sonnet-4-6,B,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"This bug is about UEFI runtime drivers not being executable after EndOfDxe, which matches the critical note that 'drivers not executable' or 'EndOfDxe' policy bugs belong to vit9696, not os-d.",False,vit9696,True
claude-sonnet-4-6,B,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,low,"This is an OvmfPkg RISC-V bug, and yechao-w handles RISC-V QEMU/KVM boot issues, though TCG2/TPM2 support is not a perfect match for any listed assignee's specific pattern — yechao-w is the closest fit given the RISC-V + OvmfPkg combination.",False,Vogtinator,False
claude-sonnet-4-6,B,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"This bug is in SecurityPkg and specifically involves OpalPassword DeviceList handling, which exactly matches the historical pattern for HunterChang030.",False,HunterChang030,True
claude-sonnet-4-6,B,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,"This bug is in MdeModulePkg and involves an Assert triggered by a default string id of 0, which matches EricGao2015's pattern of handling Assert/string-id bugs in Setup/Device Manager forms.",False,EricGao2015,True
claude-sonnet-4-6,B,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"This is a CodeQL/static-analysis bug in NetworkPkg (NetBuffer.c), which matches the historical pattern of BritChesley being assigned CodeQL/static-analysis bugs in NetworkPkg.",False,BritChesley,True
claude-sonnet-4-6,B,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,1,needs-triage,SaloniKasbekar,high,"This is a hardcoded-value / define-constant bug in NetworkPkg, which exactly matches SaloniKasbekar's historical assignment pattern.",False,SaloniKasbekar,True
claude-sonnet-4-6,B,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,0,nan,wenbhou,high,"This is a variable store / FTW (Fault Tolerant Write) spare block recovery bug in MdeModulePkg, which precisely matches wenbhou's historical assignment pattern.",False,wenbhou,True
claude-sonnet-4-6,B,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,2,needs-maintainer-feedback,lgao4,high,"InstallProtocolInterface() is a core DXE infrastructure function in MdeModulePkg, and the warning notes explicitly state that InstallProtocolInterface bugs belong to lgao4, NOT YangGangUEFI.",False,lgao4,True
claude-sonnet-4-6,B,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,1,nan,makubacki,low,"The bug is labeled 'package:other' with no clear package or sub-component match to any specific assignee pattern, and 'Add Ask deepwiki entry' suggests a documentation/tooling/CI change closest to BaseTools/CI maintenance handled by makubacki.",False,lgao4,False
claude-sonnet-4-6,B,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,14,needs-maintainer-feedback|needs-triage,os-d,high,"This bug involves FreePages() causing page faults due to memory overwriting in OVMF, which is a physical memory / page table bug matching os-d's assigned domain of FreePages() and page table inconsistency bugs.",False,os-d,True
claude-sonnet-4-6,B,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,7,needs-triage,EricGao2015,high,"This is a Device Manager form display bug in MdeModulePkg, which matches EricGao2015's historical pattern of being assigned Device Manager forms and Setup UI display bugs.",False,EricGao2015,True
claude-sonnet-4-6,B,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,5,needs-maintainer-feedback|needs-triage,jxu023,high,"This bug involves AMD SEV/SEV-ES virtualisation boot failure in OvmfPkg with a specific mention of AmdSvsm, which directly matches the historical pattern of jxu023 handling AMD SEV/SEV-ES virtualisation boot bugs in OvmfPkg.",False,jxu023,True
claude-sonnet-4-6,B,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,1,needs-triage,EricGao2015,high,"This bug is about an unexpected black box appearing at the Setup Hotkey Region, which matches the historical pattern of EricGao2015 being assigned Setup Hotkey display bugs in MdeModulePkg.",False,EricGao2015,True
claude-sonnet-4-6,B,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,4,needs-maintainer-feedback,lgao4,low,"OvmfPkg FV size build failure is a general platform infrastructure issue that doesn't match any specific sub-domain (SEV, RISC-V, memory policy, Arm menu), so lgao4 as the core DXE/infrastructure owner is the closest available match.",False,r1chard-lyu,False
claude-sonnet-4-6,B,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,bug,medium,0,needs-triage,os-d,high,"This is an MdePkg LNK2001 unresolved symbol error (__security_pop_cookie in SafeString.obj), which matches the documented pattern for os-d handling MdePkg linker errors, not ardbiesheuvel (who handles CryptoPkg VS2022 errors only).",False,os-d,True
claude-sonnet-4-6,B,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,bug,medium,0,needs-triage,praravin,high,"The bug is in IntelFsp2Pkg and specifically concerns FSP-T TemporaryRamSize configuration, which directly matches the historical pattern for praravin.",False,praravin,True
claude-sonnet-4-6,B,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,bug,high,23,needs-triage,os-d,high,"This bug is about DXE core memory protection causing inconsistency between GCD internal data structures and CPU page tables, which matches os-d's domain of physical memory bugs, page table inconsistency, and GCD data structure issues in OvmfPkg/MdeModulePkg.",False,os-d,True
claude-sonnet-4-6,B,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,bug,medium,4,needs-maintainer-feedback,praveensankarn,high,"The bug explicitly requests ARMV9 processor support additions in ShellPkg SmbioView (Type 4 processor information), which matches the historical pattern for praveensankarn handling ARMV9/processor support additions in SmbioView.",False,praveensankarn,True
claude-sonnet-4-6,B,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,bug,low,0,nan,liyi77,high,"This is a CryptoPkg OpenSSL version update bug to address a CVE, which matches exactly the pattern where liyi77 handles OpenSSL version update / CVE patch bugs in CryptoPkg.",False,liyi77,True
claude-sonnet-4-6,B,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,bug,low,14,needs-triage,AndreasBBS,high,"This bug involves both QEMU_EFI and NetworkPkg (network protocol drivers not loading), which exactly matches the historical pattern for AndreasBBS who handles bugs where both OvmfPkg/QEMU_EFI and NetworkPkg are involved together.",False,AndreasBBS,True
claude-sonnet-4-6,B,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,bug,low,1,nan,deeglaze,high,"This is a CLANGPDB linker warning ('/align without /driver') in a non-RedfishPkg build/CI context, which matches the historical pattern for deeglaze handling CLANGPDB linker warnings outside of RedfishPkg.",False,deeglaze,True
claude-sonnet-4-6,B,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,bug,low,0,nan,EricGao2015,medium,"The drvcfg command triggers HII/Device Manager forms and a DXE_ASSERT, which matches EricGao2015's historical pattern of handling Assert and Device Manager form bugs in MdeModulePkg/SetupBrowser.",False,zhurui22,False
claude-sonnet-4-6,B,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,bug,high,9,nan,bexcran,medium,"This is a BaseTools bug (FMMT tool handling a None Parent.Data case), and bexcran has been assigned ECC Check / CI failure bugs in BaseTools, making them the closest match for BaseTools-related fixes among the available assignees.",False,AshrafAliS,False
