model,system,issue_id,title,package,type,priority,comments,state,predicted_assignee,confidence,reason,corrected,true_assignee,correct
gpt-5.4,B,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,0,needs-maintainer-feedback,zhurui22,low,"This is an OvmfPkg/QEMU console-input issue affecting UEFI Shell behavior, and among the available patterns the closest prior shell-related assignment is zhurui22 for a UEFI Shell interaction bug.",False,Damien-Chen,False
gpt-5.4,B,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,1,nan,YangGangUEFI,high,"This is a MdeModulePkg HiiDatabaseDxe parser issue in GetNameElement(), which matches the historical HII/HiiDatabaseDxe assignments to YangGangUEFI.",False,YangGangUEFI,True
gpt-5.4,B,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,1,needs-triage,YangGangUEFI,high,"This is a MdeModulePkg SetupBrowserDxe bug, which matches the historical assignment pattern for YangGangUEFI on SetupBrowser/HII form-related issues.",False,YangGangUEFI,True
gpt-5.4,B,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,1,needs-maintainer-feedback,yechao-w,high,"This is an OvmfPkg bug specifically about qemu-kvm guest boot/start failure on RISC-V, which matches the historical assignment pattern for yechao-w.",False,yechao-w,True
gpt-5.4,B,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,9,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/linker error specifically in RedfishPkg, which matches the historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-5.4,B,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,1,needs-maintainer-feedback|needs-triage,mikebeaton,high,"This is a CLANGPDB build/link error specifically in RedfishPkg, which matches the explicit historical assignment pattern for mikebeaton.",False,mikebeaton,True
gpt-5.4,B,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,3,needs-maintainer-feedback|needs-triage,makubacki,high,"This is a BaseTools toolchain/nuget update bug ('mu_nasm nuget release'), which matches the historical BaseTools NASM/toolchain/nuget assignment pattern for makubacki.",False,makubacki,True
gpt-5.4,B,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,1,needs-triage,mikebeaton,high,"This is an Arm platform firmware menu key-response regression tied to a specific commit hash, which matches the documented Arm firmware menu regression pattern assigned to mikebeaton rather than general MdeModulePkg HII/UI assignees.",False,mikebeaton,True
gpt-5.4,B,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,2,needs-maintainer-feedback,ardbiesheuvel,high,"This bug is in CryptoPkg and specifically a VS2022 build error, which matches the established assignment pattern for ardbiesheuvel.",False,ardbiesheuvel,True
gpt-5.4,B,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,12,nan,zevorn,high,"This is an OvmfPkg RISC-V OS-runtime crash specifically in BaseRiscV64CpuTimerLib, which matches the historical pattern assigned to zevorn.",False,zevorn,True
gpt-5.4,B,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,3,nan,bexcran,high,"This is a BaseTools CI issue specifically about ECC Check failure, which matches the historical pattern assigning BaseTools ECC Check / CI bugs to bexcran.",False,bexcran,True
gpt-5.4,B,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,1,needs-maintainer-feedback,NingFengGit,high,"This is a ShellPkg SMBIOS MemoryDevice/MRDIMM table addition, which matches the historical pattern assigning MRDIMM and MemoryDevice table support bugs to NingFengGit.",False,NingFengGit,True
gpt-5.4,B,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,2,needs-maintainer-feedback,philnoh2,high,"This is a UefiCpuPkg BSP/AP multiprocessor synchronization bug, which matches the historical assignment pattern for philnoh2.",False,philnoh2,True
gpt-5.4,B,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,3,needs-maintainer-feedback,mdkinney,high,"This bug is in CryptoPkg and specifically reports a CLANG compiler build error, which matches the historical CryptoPkg+CLANG pattern assigned to mdkinney.",False,mdkinney,True
gpt-5.4,B,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,5,needs-maintainer-feedback,vit9696,high,"This is an OvmfPkg policy bug about runtime drivers loaded after EndOfDxe not being executable by the OS, which matches the explicit historical assignment pattern for vit9696 rather than os-d.",False,vit9696,True
gpt-5.4,B,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,11,needs-maintainer-feedback,yechao-w,medium,"This is an OvmfPkg bug specifically about RISC-V platform support, and the closest historical match is yechao-w handling RISC-V OvmfPkg functionality/boot issues.",False,Vogtinator,False
gpt-5.4,B,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,1,needs-maintainer-feedback,HunterChang030,high,"This is a SecurityPkg bug specifically in OpalPassword device list handling, which matches the unique historical assignment pattern for HunterChang030.",False,HunterChang030,True
gpt-5.4,B,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,4,nan,EricGao2015,high,"This is a MdeModulePkg assert/string-id bug, which matches the historical pattern for EricGao2015 rather than the HiiDatabase/SetupBrowser scope of YangGangUEFI or core DXE issues of lgao4.",False,EricGao2015,True
gpt-5.4,B,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,1,needs-triage,BritChesley,high,"This is a NetworkPkg CodeQL/static-analysis issue ('CodeQl error' in NetBuffer.c), which matches the historical assignment pattern for BritChesley.",False,BritChesley,True
