model,system,issue_id,title,package,type,priority,predicted_assignee,confidence,reason,true_assignee,correct
gpt-5.5,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,bug,low,Damien-Chen,0.42,"The bug is an OvmfPkg/QEMU -nographic console keyboard handling issue, which does not match the more specific OvmfPkg memory, RISC-V, SEV, NetworkPkg, or Arm menu patterns, making Damien-Chen the best fit among remaining OvmfPkg-oriented assignees.",Damien-Chen,True
gpt-5.5,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,bug,medium,YangGangUEFI,0.98,"The bug is in MdeModulePkg HiiDatabaseDxe specifically involving GetNameElement(), which matches the historical YangGangUEFI assignment pattern exactly.",YangGangUEFI,True
gpt-5.5,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,bug,low,YangGangUEFI,0.9,"The bug is in MdeModulePkg specifically SetupBrowserDxe, which matches the historical pattern assigning SetupBrowserDxe issues to YangGangUEFI.",YangGangUEFI,True
gpt-5.5,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,bug,medium,yechao-w,0.98,"The bug is in OvmfPkg and specifically concerns a qemu-kvm guest boot/start failure on RISC-V, which directly matches the historical yechao-w assignment pattern.",yechao-w,True
gpt-5.5,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,bug,medium,mikebeaton,0.98,"The bug is a RedfishPkg CLANGPDB build/link failure, which matches the historical pattern specifically assigned to mikebeaton.",mikebeaton,True
gpt-5.5,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,bug,medium,mikebeaton,0.98,"The bug is a RedfishPkg CLANGPDB build/link failure, which matches the historical RedfishPkg CLANGPDB assignment pattern for mikebeaton.",mikebeaton,True
gpt-5.5,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,bug,high,makubacki,0.95,"The bug is in BaseTools and specifically concerns updating the mu_nasm NuGet/toolchain dependency to fix CLANGDWARF link issues, which matches makubacki's historical NASM/toolchain/nuget update scope.",makubacki,True
gpt-5.5,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,bug,high,mikebeaton,0.95,"The bug is a specific commit regression breaking Enter-key response in Arm platform firmware menus, which matches the historical mikebeaton pattern rather than general MdeModulePkg UI/HII owners.",mikebeaton,True
gpt-5.5,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,bug,medium,ardbiesheuvel,0.95,"The bug is specifically a CryptoPkg build failure with VS2022, which historically maps to ardbiesheuvel.",ardbiesheuvel,True
gpt-5.5,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,bug,high,zevorn,0.99,"The bug is in OvmfPkg and specifically concerns an OS-runtime crash in the RISC-V BaseRiscV64CpuTimerLib, which directly matches the historical pattern for zevorn.",zevorn,True
gpt-5.5,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,bug,low,bexcran,0.95,"The bug is in BaseTools and specifically concerns ECC Check failures in edk2 CI, which matches the historical BaseTools ECC/CI pattern assigned to bexcran.",bexcran,True
gpt-5.5,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,bug,medium,NingFengGit,0.98,"The bug is in ShellPkg SMBIOS/SmbioView and specifically adds MRDIMM support to the MemoryDeviceMemoryTechnologyTable, which matches the historical pattern for NingFengGit.",NingFengGit,True
gpt-5.5,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,bug,medium,philnoh2,0.95,"The bug is in UefiCpuPkg and specifically concerns BSP/AP wake-up synchronization and AP reset vector buffer lifetime, matching philnoh2's historical BSP/AP multiprocessor synchronization scope.",philnoh2,True
gpt-5.5,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,bug,high,mdkinney,0.95,"The bug is in CryptoPkg and specifically reports a CLANG compiler build error, which matches the historical pattern for mdkinney.",mdkinney,True
gpt-5.5,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,bug,medium,vit9696,0.98,"This is an OvmfPkg/MdeModulePkg policy issue about UEFI runtime drivers loaded after EndOfDxe not being executable by the OS, which matches vit9696 rather than os-d's physical memory scope.",vit9696,True
gpt-5.5,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,bug,medium,Vogtinator,0.38,"The bug is OvmfPkg-specific TCG2/TPM2 support on RISC-V, which does not match the listed RISC-V boot/timer/SEV patterns, making Vogtinator the most plausible remaining OvmfPkg TPM-related assignee.",Vogtinator,True
gpt-5.5,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,bug,medium,HunterChang030,0.98,"The bug is in SecurityPkg and specifically concerns OpalPassword DeviceList handling, which exactly matches the historical unique assignment pattern for HunterChang030.",HunterChang030,True
gpt-5.5,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,bug,low,EricGao2015,0.93,"The bug is in MdeModulePkg and specifically concerns an assert involving a default string ID, matching the historical EricGao2015 pattern for assert/string-id UI/form-related bugs.",EricGao2015,True
gpt-5.5,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,bug,low,BritChesley,0.95,"The bug is in NetworkPkg and specifically reports a CodeQL/static-analysis error, which matches the historical NetworkPkg CodeQL pattern for BritChesley.",BritChesley,True
gpt-5.5,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,bug,low,SaloniKasbekar,0.96,"The bug is in NetworkPkg and specifically concerns replacing a hardcoded value with an existing #define constant, matching the historical SaloniKasbekar pattern.",SaloniKasbekar,True
gpt-5.5,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,bug,high,wenbhou,0.98,"The bug is in MdeModulePkg and specifically concerns variable store recovery from an FTW spare block, which matches the historical wenbhou pattern.",wenbhou,True
gpt-5.5,A,11113,[Bug]: InstallProtocolInterface() does not update the key of an existing handle,mdemodulepkg,bug,low,lgao4,0.96,"The bug is in MdeModulePkg core DXE protocol/handle management, and InstallProtocolInterface issues are explicitly assigned to lgao4 rather than HII/UI assignees.",lgao4,True
gpt-5.5,A,11088,[Bug]: <title>Add Ask deepwiki entry,other,bug,low,mdkinney,0.25,"The bug is package:other with a general repository/documentation-style request to add an Ask DeepWiki entry, and no specific historical component pattern matches, so a broad maintainer-style assignee is the weakest best fit.",lgao4,False
gpt-5.5,A,11074,[Bug]: default OVMF build overwrites memory on FreePages() causing page fault if pages are not writable,mdepkg,bug,low,os-d,0.93,"The bug concerns FreePages() and writable/page-fault behavior in OVMF/MdePkg memory management, matching os-d's physical memory/page table and MdePkg low-level memory bug pattern.",os-d,True
gpt-5.5,A,10925,[Bug]: Raid card option rom is not displayed in Device Manager form after repairing in Driver Health form.,mdemodulepkg,bug,low,EricGao2015,0.86,"The bug is in MdeModulePkg and specifically concerns Device Manager form display behavior, which matches the historical Device Manager forms pattern assigned to EricGao2015.",EricGao2015,True
gpt-5.5,A,10892,[Bug]: SEV and SEV-ES VM boot is broken due to faulty check in AmdSvsmIsSvsmPresent(),ovmfpkg,bug,high,jxu023,0.98,"The bug is in OvmfPkg and specifically mentions SEV/SEV-ES and AmdSvsm, which the historical pattern maps to jxu023.",jxu023,True
gpt-5.5,A,10866,[Bug]: An unexpected black box appears at Setup Hotkey Region.,mdemodulepkg,bug,low,EricGao2015,0.93,"The bug is in MdeModulePkg and specifically concerns Setup Hotkey display/UI rendering, which historically maps to EricGao2015.",EricGao2015,True
gpt-5.5,A,10839,[Bug]: [OvmfPkg] Build fails due to insufficient FV size in edk2-stable202502,ovmfpkg,bug,medium,r1chard-lyu,0.42,"The bug is an OvmfPkg build/FV-size issue and does not match the more specific OvmfPkg patterns for RISC-V, SEV, memory protection, EndOfDxe policy, or Arm menu regressions, making r1chard-lyu the best available general OvmfPkg fit.",r1chard-lyu,True
gpt-5.5,A,10802,[Bug]: <title>error LNK2001: unresolved external symbol __security_pop_cookie Compile for AARCH64  in SafeString.obj,mdepkg,bug,medium,os-d,0.96,"The bug is in MdePkg and specifically matches the historical pattern for LNK2001 unresolved symbol errors such as __security_pop_cookie, which are assigned to os-d.",os-d,True
gpt-5.5,A,10773,[Bug]: Configuring TemporaryRamSize using FSP-T arch UPD (added as part of Spec 2.5) is not working as expected.,intelfsp2pkg,bug,medium,praravin,0.97,"The bug is in IntelFsp2Pkg and specifically concerns FSP-T TemporaryRamSize configuration, which directly matches the historical pattern for praravin.",praravin,True
gpt-5.5,A,10771,[Bug]: DXE core memory protection feature might cause inconsistency between GCD internal data structure with CPU page table,mdemodulepkg,bug,high,os-d,0.96,"The bug is a DXE core memory-protection/page-table inconsistency involving GCD internal data structures, which matches os-d's historical physical memory and memory-protection domain.",os-d,True
gpt-5.5,A,10723,[Bug]: ShellPkg: ARMV9 support should be added to SmbioView command based on Type 4 processor information.,shellpkg,bug,medium,praveensankarn,0.95,"The bug is in ShellPkg SmbioView and specifically requests ARMV9 support based on Type 4 processor information, matching the historical ARMV9/processor support SmbioView pattern for praveensankarn.",praveensankarn,True
gpt-5.5,A,10664,[Bug]: Should update openssl to 3.4.1 for CVE-2024-13176,cryptopkg,bug,low,liyi77,0.97,"The bug is in CryptoPkg and specifically requests an OpenSSL version update for a CVE, which matches the historical CryptoPkg OpenSSL/CVE patch pattern assigned to liyi77.",liyi77,True
gpt-5.5,A,10663,[Bug]: [QEMU_EFI] Not Loading Network Protocol Drivers and http efi command,networkpkg|ovmfpkg,bug,low,AndreasBBS,0.95,"The bug involves both QEMU_EFI/OvmfPkg and NetworkPkg with network protocol driver loading, which matches the specific historical pattern for AndreasBBS.",AndreasBBS,True
gpt-5.5,A,10637,[Bug]: CLANGPDB linker warning /align without /driver,build-or-ci-code,bug,low,deeglaze,0.95,"This is a CLANGPDB linker warning outside RedfishPkg, specifically the '/align without /driver' toolchain warning pattern assigned to deeglaze.",deeglaze,True
gpt-5.5,A,10626,[Bug]: <title> DXE_ASSERT when issuing drvcfg command in UEFI Shell,shellpkg,bug,low,zhurui22,0.55,"The bug is in ShellPkg and specifically concerns the UEFI Shell drvcfg command, which does not match the ShellPkg SMBIOS/SmbioView patterns assigned to NingFengGit or praveensankarn, making zhurui22 the most likely ShellPkg command assignee among the candidates.",zhurui22,True
gpt-5.5,A,10557,BaseTools FMMT handle case where Parent.Data is none (previously easier bug report?),nan,bug,high,AshrafAliS,0.55,"The issue is a BaseTools FMMT-specific bug, which does not match the listed ECC/CI or NASM/toolchain BaseTools patterns, making AshrafAliS the most likely specialized assignee.",AshrafAliS,True
