model,system,issue_id,title,package,is_invalid,confidence,reason,true_invalid
claude-sonnet-4-6,A,12141,[Bug]: KeyBoard Backspace is not work in UEFI shell when launch QEMU with -nographic mode,ovmfpkg,False,0.85,"This is a genuine bug report about keyboard backspace not functioning in UEFI shell under QEMU's -nographic mode, which relates to OvmfPkg terminal/serial input handling in EDK II.",False
claude-sonnet-4-6,A,12067,[Bug]: MdeModulePkg/HiiDatabaseDxe: Parser issue in GetNameElement(),emulatorpkg|mdemodulepkg,False,0.95,This is a genuine bug report about a parser issue in a specific EDK II driver (HiiDatabaseDxe) within MdeModulePkg.,False
claude-sonnet-4-6,A,12065,[Bug]: Code issue in SetupBrowserDxe introduce from  https://github.com/tianocore/edk2/pull/11686,mdemodulepkg,False,0.95,This is a valid bug report referencing a specific EDK II package (MdeModulePkg/SetupBrowserDxe) and a specific pull request that allegedly introduced a code issue.,False
claude-sonnet-4-6,A,11965,[Bug]: qemu-kvm GUEST start failed on RISC-V,ovmfpkg,False,0.85,"This is a legitimate bug report about OVMF/RISC-V firmware failing to start a QEMU-KVM guest, which directly relates to EDK II's OvmfPkg package.",False
claude-sonnet-4-6,A,11882,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _memcpy' in CLANGPDB (IA32 NOOPT),redfishpkg,False,0.97,"This is a genuine build failure bug report for RedfishPkg with a specific compiler/linker (CLANGPDB), target architecture (IA32), and build type (NOOPT) that produces a reproducible undefined symbol error.",False
claude-sonnet-4-6,A,11881,[Bug]: RedfishPkg fails to build with 'lld-link: error: undefined symbol: _fltused' in CLANGPDB (DEBUG RELEASE),redfishpkg,False,0.98,"This is a genuine build failure bug report for RedfishPkg when using the CLANGPDB toolchain, involving an undefined symbol linker error that affects DEBUG and RELEASE builds.",False
claude-sonnet-4-6,A,11842,[Bug]: Update mu_nasm nuget release to 2.16.01 to resolve IA32 CLANGDWARF link issues,basetools,False,0.95,This is a valid bug report about a build toolchain dependency (nasm) version that needs updating to resolve specific IA32 CLANGDWARF link issues in EDK II build infrastructure.,False
claude-sonnet-4-6,A,11814,[Bug]: 901c4e3 breaks response to Enter key in Arm platform firmware menus,armvirtpkg|mdemodulepkg,False,0.97,"This is a genuine bug report identifying a specific commit (901c4e3) that breaks Enter key response in ARM platform firmware menus, affecting EDK II packages ArmVirtPkg and MdeModulePkg.",False
claude-sonnet-4-6,A,11790,[Bug]: CryptoPkg cannot be built with VS2022,cryptopkg,False,0.97,"This is a legitimate bug report about a build failure in CryptoPkg when using VS2022 compiler, which is a valid EDK II build infrastructure issue.",False
claude-sonnet-4-6,A,11747,"[Bug]: BaseRiscV64CpuTimerLib is not safe for OS-runtime, crashes RealTimeClockRuntimeDxe in gRT->GetTime",ovmfpkg,False,0.97,"This is a genuine bug report describing a specific crash in RealTimeClockRuntimeDxe caused by BaseRiscV64CpuTimerLib being unsafe for OS-runtime use, with enough detail to investigate.",False
claude-sonnet-4-6,A,11491,[Bug]: ECC Check Silently Fails in edk2 CI for Windows and Linux,basetools,False,0.97,"This is a legitimate bug report about ECC (Edk2 Code Check) silently failing in CI environments on both Windows and Linux, which directly relates to EDK II build infrastructure and coding style enforcement tools.",False
claude-sonnet-4-6,A,11449,[Bug]: ShellPkg: add MRDIMM support in MemoryDeviceMemoryTechnologyTable to satisfy smbios v3.8,shellpkg,False,0.95,"This is a legitimate bug report requesting SMBIOS v3.8 MRDIMM support in the ShellPkg MemoryDeviceMemoryTechnologyTable, which is a valid EDK II feature/compliance issue.",False
claude-sonnet-4-6,A,11394,[Bug]: BSP could free AP reset vector buffer even though AP wake up is in process,ueficpupkg,False,0.95,This is a legitimate bug report about a race condition in the UefiCpuPkg where the BSP may free the AP reset vector buffer while APs are still in the process of waking up.,False
claude-sonnet-4-6,A,11391,[Bug]: Encountering a build error with the CLANG compiler.,cryptopkg,False,0.95,"This is a genuine bug report about a build error with the CLANG compiler in CryptoPkg, which is a valid EDK II package build failure.",False
claude-sonnet-4-6,A,11374,[Bug]: UEFI runtime drivers loaded after EndOfDxe are not executable by OS,mdemodulepkg|ovmfpkg,False,0.92,"This is a genuine bug report about UEFI runtime drivers loaded after EndOfDxe lacking proper executable permissions when accessed by the OS, which is a legitimate EDK II firmware issue involving DXE dispatch and memory attribute handling.",False
claude-sonnet-4-6,A,11360,[Bug]: TCG2/TPM2 support on RISC-V does not work,ovmfpkg,False,0.95,"This is a genuine bug report about TCG2/TPM2 support failing on RISC-V architecture in OvmfPkg, which is a legitimate EDK II firmware component issue.",False
claude-sonnet-4-6,A,11336,[Bug]: Potential infinite loop and incorrect DeviceList handling in OpalPassword,securitypkg,False,0.95,"This is a legitimate bug report about potential infinite loop and incorrect device list handling in the OpalPassword driver within SecurityPkg, which is a valid EDK II component issue.",False
claude-sonnet-4-6,A,11256,[Bug]: Assert if default string id is 0.,mdemodulepkg,False,0.95,"This is a genuine bug report about an assert condition related to default string ID handling in MdeModulePkg, which is a core EDK II package.",False
claude-sonnet-4-6,A,11190,[Bug]: CodeQl error reported in NetBuffer.c,networkpkg,False,0.95,This is a legitimate bug report about a CodeQL static analysis error in EDK II's NetworkPkg/NetBuffer.c file.,False
claude-sonnet-4-6,A,11140,[Bug]: Replace hardcoded value with existing #define constant,networkpkg,False,0.85,"This is a legitimate bug report requesting a code quality fix in NetworkPkg to replace a hardcoded value with an existing named constant, which is a valid EDK II code improvement issue.",False
claude-sonnet-4-6,A,11118,[Bug]: Var Store Fails to Recover from FTW Spare Block After Corruption,mdemodulepkg,False,0.92,"This is a genuine bug report about variable store recovery from FTW (Fault Tolerant Write) spare block corruption in MdeModulePkg, which is a core EDK II firmware component.",False
